date,calsim_node,value,location,units,calsim_run
1928-07-31,C407,2692.6017261707693,Delta Outflow,cfs,2008 & 2009 BiOp
1928-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1928-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1928-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1928-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1928-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1929-01-31,C407,3784.0643917428024,Delta Outflow,cfs,2008 & 2009 BiOp
1929-02-28,C407,6780.78017360734,Delta Outflow,cfs,2008 & 2009 BiOp
1929-03-31,C407,637.407132018122,Delta Outflow,cfs,2008 & 2009 BiOp
1929-04-30,C407,761.3525154915696,Delta Outflow,cfs,2008 & 2009 BiOp
1929-05-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1929-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1929-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1929-08-31,C407,983.8403273513777,Delta Outflow,cfs,2008 & 2009 BiOp
1929-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1929-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1929-11-30,C407,163.8415518435213,Delta Outflow,cfs,2008 & 2009 BiOp
1929-12-31,C407,9783.742238834295,Delta Outflow,cfs,2008 & 2009 BiOp
1930-01-31,C407,12828.025667628746,Delta Outflow,cfs,2008 & 2009 BiOp
1930-02-28,C407,9449.639609168793,Delta Outflow,cfs,2008 & 2009 BiOp
1930-03-31,C407,21371.498732346008,Delta Outflow,cfs,2008 & 2009 BiOp
1930-04-30,C407,5113.060732338766,Delta Outflow,cfs,2008 & 2009 BiOp
1930-05-31,C407,1838.2127914546945,Delta Outflow,cfs,2008 & 2009 BiOp
1930-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1930-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1930-08-31,C407,572.2015515112807,Delta Outflow,cfs,2008 & 2009 BiOp
1930-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1930-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1930-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1930-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1931-01-31,C407,5435.156931452468,Delta Outflow,cfs,2008 & 2009 BiOp
1931-02-28,C407,3003.6758629111837,Delta Outflow,cfs,2008 & 2009 BiOp
1931-03-31,C407,138.46857523638755,Delta Outflow,cfs,2008 & 2009 BiOp
1931-04-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1931-05-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1931-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1931-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1931-08-31,C407,575.5386450384749,Delta Outflow,cfs,2008 & 2009 BiOp
1931-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1931-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1931-11-30,C407,376.000136923898,Delta Outflow,cfs,2008 & 2009 BiOp
1931-12-31,C407,10430.011168354471,Delta Outflow,cfs,2008 & 2009 BiOp
1932-01-31,C407,11339.947416512885,Delta Outflow,cfs,2008 & 2009 BiOp
1932-02-29,C407,7297.0294258592385,Delta Outflow,cfs,2008 & 2009 BiOp
